code_iso;code_key
AFG;AFG
ALB;ALB
DZA;DZA
AND;AND
AGO;AGO
ATA;ATA
ATG;ATG
ARG;ARG
ARM;ARM
AUS;AUS-Australian-Capital-Territory
AUS;AUS-New-South-Wales
AUS;AUS-Northern-Territory
AUS;AUS-Queensland
AUS;AUS-South-Australia
AUS;AUS-Tasmania
AUS;AUS-Victoria
AUS;AUS-Western-Australia
AUT;AUT
AZE;AZE
BHS;BHS
BHR;BHR
BGD;BGD
BRB;BRB
BLR;BLR
BEL;BEL-Antwerp
BEL;BEL-Brussels
BEL;BEL-East-Flanders
BEL;BEL-Flemish-Brabant
BEL;BEL-Hainaut
BEL;BEL-Liege
BEL;BEL-Limburg
BEL;BEL-Luxembourg
BEL;BEL-Namur
BEL;BEL-Walloon-Brabant
BEL;BEL-West-Flanders
BLZ;BLZ
BEN;BEN
BTN;BTN
BOL;BOL
BIH;BIH
BWA;BWA
BRA;BRA-Acre
BRA;BRA-Alagoas
BRA;BRA-Amapa
BRA;BRA-Amazonas
BRA;BRA-Bahia
BRA;BRA-Ceara
BRA;BRA-Distrito-Federal
BRA;BRA-Espirito-Santo
BRA;BRA-Goias
BRA;BRA-Maranhao
BRA;BRA-Mato-Grosso
BRA;BRA-Mato-Grosso-do-Sul
BRA;BRA-Minas-Gerais
BRA;BRA-Para
BRA;BRA-Paraiba
BRA;BRA-Parana
BRA;BRA-Pernambuco
BRA;BRA-Piaui
BRA;BRA-Rio-Grande-do-Norte
BRA;BRA-Rio-Grande-do-Sul
BRA;BRA-Rio-de-Janeiro
BRA;BRA-Rondonia
BRA;BRA-Roraima
BRA;BRA-Santa-Catarina
BRA;BRA-Sao-Paulo
BRA;BRA-Sergipe
BRA;BRA-Tocantins
BRN;BRN
BGR;BGR
BFA;BFA
MMR;MMR
BDI;BDI
CPV;CPV
KHM;KHM
CMR;CMR
CAN;CAN-Alberta
CAN;CAN-British-Columbia
CAN;CAN-Manitoba
CAN;CAN-New-Brunswick
CAN;CAN-Newfoundland-and-Labrador
CAN;CAN-Northwest-Territories
CAN;CAN-Nova-Scotia
CAN;CAN-Nunavut
CAN;CAN-Ontario
CAN;CAN-Prince-Edward-Island
CAN;CAN-Quebec
CAN;CAN-Saskatchewan
CAN;CAN-Yukon
CAF;CAF
TCD;TCD
CHL;CHL-Antofagasta
CHL;CHL-Araucania
CHL;CHL-Arica-y-Parinacota
CHL;CHL-Atacama
CHL;CHL-Aysen
CHL;CHL-Biobio
CHL;CHL-Coquimbo
CHL;CHL-Los-Lagos
CHL;CHL-Los-Rios
CHL;CHL-Magallanes
CHL;CHL-Maule
CHL;CHL-Metropolitana
CHL;CHL-Nuble
CHL;CHL-OHiggins
CHL;CHL-Tarapaca
CHL;CHL-Valparaiso
CHN;CHN-Anhui
CHN;CHN-Beijing
CHN;CHN-Chongqing
CHN;CHN-Fujian
CHN;CHN-Gansu
CHN;CHN-Guangdong
CHN;CHN-Guangxi
CHN;CHN-Guizhou
CHN;CHN-Hainan
CHN;CHN-Hebei
CHN;CHN-Heilongjiang
CHN;CHN-Henan
CHN;CHN-Hong-Kong
CHN;CHN-Hubei
CHN;CHN-Hunan
CHN;CHN-Inner-Mongolia
CHN;CHN-Jiangsu
CHN;CHN-Jiangxi
CHN;CHN-Jilin
CHN;CHN-Liaoning
CHN;CHN-Macau
CHN;CHN-Ningxia
CHN;CHN-Qinghai
CHN;CHN-Shaanxi
CHN;CHN-Shandong
CHN;CHN-Shanghai
CHN;CHN-Shanxi
CHN;CHN-Sichuan
CHN;CHN-Tianjin
CHN;CHN-Tibet
CHN;CHN-Xinjiang
CHN;CHN-Yunnan
CHN;CHN-Zhejiang
COL;COL-Amazonas
COL;COL-Antioquia
COL;COL-Arauca
COL;COL-Atlantico
COL;COL-Bolivar
COL;COL-Boyaca
COL;COL-Caldas
COL;COL-Capital-District
COL;COL-Caqueta
COL;COL-Casanare
COL;COL-Cauca
COL;COL-Cesar
COL;COL-Choco
COL;COL-Cordoba
COL;COL-Cundinamarca
COL;COL-Guainia
COL;COL-Guaviare
COL;COL-Huila
COL;COL-La-Guajira
COL;COL-Magdalena
COL;COL-Meta
COL;COL-Narino
COL;COL-Norte-de-Santander
COL;COL-Putumayo
COL;COL-Quindio
COL;COL-Risaralda
COL;COL-San-Andres-y-Providencia
COL;COL-Santander
COL;COL-Sucre
COL;COL-Tolima
COL;COL-Valle-del-Cauca
COL;COL-Vaupes
COL;COL-Vichada
COM;COM
COG;COG
COD;COD
CRI;CRI
CIV;CIV
HRV;HRV
CUB;CUB
CYP;CYP
CZE;CZE
DNK;DNK-Faroe-Islands
DNK;DNK-Greenland
DNK;DNK
DJI;DJI
DMA;DMA
DOM;DOM
ECU;ECU
EGY;EGY
SLV;SLV
GNQ;GNQ
ERI;ERI
EST;EST
SWZ;SWZ
ETH;ETH
FJI;FJI
FIN;FIN
FRA;FRA-French-Guiana
FRA;FRA-French-Polynesia
FRA;FRA-Guadeloupe
FRA;FRA-Martinique
FRA;FRA-Mayotte
FRA;FRA-New-Caledonia
FRA;FRA-Reunion
FRA;FRA-Saint-Barthelemy
FRA;FRA-Saint-Pierre-and-Miquelon
FRA;FRA-St-Martin
FRA;FRA-Wallis-and-Futuna
FRA;FRA
GAB;GAB
GMB;GMB
GEO;GEO
DEU;DEU-Baden-Wurttemberg
DEU;DEU-Bayern
DEU;DEU-Berlin
DEU;DEU-Brandenburg
DEU;DEU-Bremen
DEU;DEU-Hamburg
DEU;DEU-Hessen
DEU;DEU-Mecklenburg-Vorpommern
DEU;DEU-Niedersachsen
DEU;DEU-Nordrhein-Westfalen
DEU;DEU-Rheinland-Pfalz
DEU;DEU-Saarland
DEU;DEU-Sachsen
DEU;DEU-Sachsen-Anhalt
DEU;DEU-Schleswig-Holstein
DEU;DEU-Thuringen
GHA;GHA
GRC;GRC
GRD;GRD
GTM;GTM
GIN;GIN
GNB;GNB
GUY;GUY
HTI;HTI
VAT;VAT
HND;HND
HUN;HUN
ISL;ISL
IND;IND-Andaman-and-Nicobar-Islands
IND;IND-Andhra-Pradesh
IND;IND-Arunachal-Pradesh
IND;IND-Assam
IND;IND-Bihar
IND;IND-Chandigarh
IND;IND-Chhattisgarh
IND;IND-Dadra-and-Nagar-Haveli-and-Daman-and-Diu
IND;IND-Delhi
IND;IND-Goa
IND;IND-Gujarat
IND;IND-Haryana
IND;IND-Himachal-Pradesh
IND;IND-Jammu-and-Kashmir
IND;IND-Jharkhand
IND;IND-Karnataka
IND;IND-Kerala
IND;IND-Ladakh
IND;IND-Lakshadweep
IND;IND-Madhya-Pradesh
IND;IND-Maharashtra
IND;IND-Manipur
IND;IND-Meghalaya
IND;IND-Mizoram
IND;IND-Nagaland
IND;IND-Odisha
IND;IND-Puducherry
IND;IND-Punjab
IND;IND-Rajasthan
IND;IND-Sikkim
IND;IND-Tamil-Nadu
IND;IND-Telangana
IND;IND-Tripura
IND;IND-Uttar-Pradesh
IND;IND-Uttarakhand
IND;IND-West-Bengal
IDN;IDN
IRN;IRN
IRQ;IRQ
IRL;IRL
ISR;ISR
ITA;ITA-Abruzzo
ITA;ITA-Basilicata
ITA;ITA-Calabria
ITA;ITA-Campania
ITA;ITA-Emilia-Romagna
ITA;ITA-Friuli-Venezia-Giulia
ITA;ITA-Lazio
ITA;ITA-Liguria
ITA;ITA-Lombardia
ITA;ITA-Marche
ITA;ITA-Molise
ITA;ITA-P.A.-Bolzano
ITA;ITA-P.A.-Trento
ITA;ITA-Piemonte
ITA;ITA-Puglia
ITA;ITA-Sardegna
ITA;ITA-Sicilia
ITA;ITA-Toscana
ITA;ITA-Umbria
ITA;ITA-Valle-d'Aosta
ITA;ITA-Veneto
JAM;JAM
JPN;JPN-Aichi
JPN;JPN-Akita
JPN;JPN-Aomori
JPN;JPN-Chiba
JPN;JPN-Ehime
JPN;JPN-Fukui
JPN;JPN-Fukuoka
JPN;JPN-Fukushima
JPN;JPN-Gifu
JPN;JPN-Gunma
JPN;JPN-Hiroshima
JPN;JPN-Hokkaido
JPN;JPN-Hyogo
JPN;JPN-Ibaraki
JPN;JPN-Ishikawa
