FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,code_iso_x,code_key,code_iso_y,population_est,income_per_capita_est,income_group
,,,Afghanistan,2023-03-10 04:21:03,33.93911,67.709953,209451,7896,,,Afghanistan,538.0424508714615,3.76985547932452,AFG,AFG,AFG,1132754594,8217,bajo
,,,Albania,2023-03-10 04:21:03,41.1533,20.1683,334457,3598,,,Albania,11621.96817012996,1.075773567304616,ALB,ALB,ALB,700118028,9247,bajo
,,,Algeria,2023-03-10 04:21:03,28.0339,1.6596,271496,6881,,,Algeria,619.132365905185,2.534475646050034,DZA,DZA,DZA,1263047350,52246,alto
,,,Andorra,2023-03-10 04:21:03,42.5063,1.5218,47890,165,,,Andorra,61981.49226687375,0.3445395698475673,AND,AND,AND,674291732,32601,medio
,,,Angola,2023-03-10 04:21:03,-11.2027,17.8739,105288,1933,,,Angola,320.35277020195906,1.835916723653218,AGO,AGO,AGO,694037604,20677,medio
,,,Antarctica,2023-03-10 04:21:03,-71.9499,23.347,11,0,,,Antarctica,,0.0,ATA,ATA,ATA,463964166,64552,alto
,,,Antigua-and-Barbuda,2023-03-10 04:21:03,17.0608,-61.7964,9106,146,,,Antigua and Barbuda,9298.668409443671,1.6033384581594552,ATG,ATG,ATG,161704537,32322,medio
,,,Argentina,2023-03-10 04:21:03,-38.4161,-63.6167,10044957,130472,,,Argentina,22225.43269916568,1.2988806223859397,ARG,ARG,ARG,97655343,12355,medio
,,,Armenia,2023-03-10 04:21:03,40.0691,45.0382,447308,8727,,,Armenia,15095.264160710898,1.9510046768669465,ARM,ARM,ARM,849884743,19157,medio
,,Australian-Capital-Territory,Australia,2023-03-10 04:21:03,-35.4735,149.0124,232974,228,,,"Australian Capital Territory, Australia",54420.46250875964,0.0978649978109145,AUS,AUS-Australian-Capital-Territory,AUS,45474342,2895,bajo
,,New-South-Wales,Australia,2023-03-10 04:21:03,-33.8688,151.2093,3915992,6529,,,"New South Wales, Australia",48238.38383838384,0.1667265918827209,AUS,AUS-New-South-Wales,AUS,25919088,10524,medio
,,Northern-Territory,Australia,2023-03-10 04:21:03,-12.4634,130.8456,105111,91,,,"Northern Territory, Australia",42797.63843648208,0.0865751443711885,AUS,AUS-Northern-Territory,AUS,15150586,10561,medio
,,Queensland,Australia,2023-03-10 04:21:03,-27.4698,153.0251,1800236,2783,,,"Queensland, Australia",35191.78965887988,0.1545908425339788,AUS,AUS-Queensland,AUS,4869633,18167,medio
,,South-Australia,Australia,2023-03-10 04:21:03,-34.9285,138.6007,883620,1365,,,"South Australia, Australia",50305.72160546541,0.1544781693488151,AUS,AUS-South-Australia,AUS,38033284,26184,medio
