code_iso,code_key,population_est,income_per_capita_est,income_group
AFG,AFG,1132754594,8217,bajo
ALB,ALB,700118028,9247,bajo
DZA,DZA,1263047350,52246,alto
AND,AND,674291732,32601,medio
AGO,AGO,694037604,20677,medio
ATA,ATA,463964166,64552,alto
ATG,ATG,161704537,32322,medio
ARG,ARG,97655343,12355,medio
ARM,ARM,849884743,19157,medio
AUS,AUS-Australian-Capital-Territory,45474342,2895,bajo
AUS,AUS-New-South-Wales,25919088,10524,medio
AUS,AUS-Northern-Territory,15150586,10561,medio
AUS,AUS-Queensland,4869633,18167,medio
AUS,AUS-South-Australia,38033284,26184,medio
AUS,AUS-Tasmania,7752237,34497,medio
AUS,AUS-Victoria,23537193,7916,bajo
AUS,AUS-Western-Australia,48415030,5164,bajo
AUT,AUT,1235153896,1705,bajo
AZE,AZE,331572068,2738,bajo
BHS,BHS,178534136,27544,medio
BHR,BHR,654584937,22987,medio
BGD,BGD,1392120814,5739,bajo
BRB,BRB,759676059,79785,alto
BLR,BLR,586191740,58358,alto
BEL,BEL-Antwerp,45132928,26455,medio
BEL,BEL-Brussels,41173397,27138,medio
BEL,BEL-East-Flanders,16945469,33682,medio
BEL,BEL-Flemish-Brabant,3221369,7100,bajo
BEL,BEL-Hainaut,1669537,63428,alto
BEL,BEL-Liege,34844330,9596,bajo
BEL,BEL-Limburg,2374840,82582,alto
BEL,BEL-Luxembourg,34335575,34536,medio
BEL,BEL-Namur,40262379,34627,medio
BEL,BEL-Walloon-Brabant,20693593,23291,medio
BEL,BEL-West-Flanders,15277600,12621,medio
BLZ,BLZ,1357587983,3690,bajo
BEN,BEN,1302570611,13948,medio
BTN,BTN,1300504782,11287,medio
BOL,BOL,497145628,31742,medio
BIH,BIH,411985899,8018,bajo
BWA,BWA,391997996,33420,medio
BRA,BRA-Acre,43279365,82358,alto
BRA,BRA-Alagoas,10546473,31164,medio
BRA,BRA-Amapa,7763638,25668,medio
BRA,BRA-Amazonas,28117874,36772,alto
BRA,BRA-Bahia,34553154,30286,medio
BRA,BRA-Ceara,18824614,32110,medio
BRA,BRA-Distrito-Federal,14543551,67238,alto
BRA,BRA-Espirito-Santo,3537110,16200,medio
BRA,BRA-Goias,37854071,9641,bajo
BRA,BRA-Maranhao,23186113,3638,bajo
BRA,BRA-Mato-Grosso,34629992,17213,medio
BRA,BRA-Mato-Grosso-do-Sul,23976420,2916,bajo
BRA,BRA-Minas-Gerais,40271864,50964,alto
BRA,BRA-Para,41913497,7551,bajo
BRA,BRA-Paraiba,23721414,27968,medio
BRA,BRA-Parana,7399434,1546,bajo
BRA,BRA-Pernambuco,16878872,24909,medio
BRA,BRA-Piaui,35727198,48578,alto
BRA,BRA-Rio-Grande-do-Norte,363153,33368,medio
BRA,BRA-Rio-Grande-do-Sul,40288936,86317,alto
BRA,BRA-Rio-de-Janeiro,20240924,6219,bajo
BRA,BRA-Rondonia,31349570,7722,bajo
BRA,BRA-Roraima,46083017,85328,alto
BRA,BRA-Santa-Catarina,997938,83366,alto
BRA,BRA-Sao-Paulo,7084533,50624,alto
BRA,BRA-Sergipe,30306194,16411,medio
BRA,BRA-Tocantins,26157838,18074,medio
BRN,BRN,1152100613,9723,bajo
BGR,BGR,763834218,66433,alto
BFA,BFA,743256465,29672,medio
MMR,MMR,685309099,22718,medio
BDI,BDI,1263554504,11315,medio
CPV,CPV,265325331,1392,bajo
KHM,KHM,927872219,56553,alto
CMR,CMR,1160527961,8798,bajo
CAN,CAN-Alberta,41101400,29464,medio
CAN,CAN-British-Columbia,12508291,18936,medio
CAN,CAN-Manitoba,39042267,23767,medio
CAN,CAN-New-Brunswick,31815572,16466,medio
CAN,CAN-Newfoundland-and-Labrador,48814674,9313,bajo
CAN,CAN-Northwest-Territories,47595930,15090,medio
CAN,CAN-Nova-Scotia,35170184,14240,medio
CAN,CAN-Nunavut,46718163,26795,medio
CAN,CAN-Ontario,48098004,8805,bajo
CAN,CAN-Prince-Edward-Island,17594256,2946,bajo
CAN,CAN-Quebec,6644586,3846,bajo
CAN,CAN-Saskatchewan,20919659,22411,medio
CAN,CAN-Yukon,22019406,585,bajo
CAF,CAF,734353646,75517,alto
TCD,TCD,1331073858,14142,medio
CHL,CHL-Antofagasta,28818715,26070,medio
CHL,CHL-Araucania,2164828,81955,alto
CHL,CHL-Arica-y-Parinacota,39343160,7587,bajo
CHL,CHL-Atacama,11991953,58752,alto
CHL,CHL-Aysen,38857780,25635,medio
CHL,CHL-Biobio,2794975,57218,alto
CHL,CHL-Coquimbo,15639231,66873,alto
CHL,CHL-Los-Lagos,8381223,1303,bajo
CHL,CHL-Los-Rios,8850597,24724,medio
CHL,CHL-Magallanes,49911706,33103,medio
CHL,CHL-Maule,15734345,32469,medio
CHL,CHL-Metropolitana,38476733,9761,bajo
CHL,CHL-Nuble,8136492,4682,bajo
CHL,CHL-OHiggins,19864242,19600,medio
CHL,CHL-Tarapaca,44097791,21932,medio
CHL,CHL-Valparaiso,158469,84416,alto
CHN,CHN-Anhui,44290462,22040,medio
CHN,CHN-Beijing,20957771,29477,medio
CHN,CHN-Chongqing,15784046,5298,bajo
CHN,CHN-Fujian,13709048,8643,bajo
CHN,CHN-Gansu,17303610,22473,medio
CHN,CHN-Guangdong,28949983,51709,alto
CHN,CHN-Guangxi,18878041,11206,medio
CHN,CHN-Guizhou,42473152,19696,medio
CHN,CHN-Hainan,11102722,48714,alto
CHN,CHN-Hebei,44599825,69208,alto
CHN,CHN-Heilongjiang,13890983,5684,bajo
CHN,CHN-Henan,30469094,9647,bajo
CHN,CHN-Hong-Kong,35983285,26267,medio
CHN,CHN-Hubei,7259127,18746,medio
CHN,CHN-Hunan,25708073,66452,alto
CHN,CHN-Inner-Mongolia,49450284,5636,bajo
CHN,CHN-Jiangsu,14683090,8640,bajo
CHN,CHN-Jiangxi,40761609,48188,alto
CHN,CHN-Jilin,37948509,15819,medio
CHN,CHN-Liaoning,32855567,75837,alto
CHN,CHN-Macau,29712936,22769,medio
CHN,CHN-Ningxia,1139775,28420,medio
CHN,CHN-Qinghai,34735365,9978,bajo
CHN,CHN-Shaanxi,36083361,9889,bajo
CHN,CHN-Shandong,40168600,15560,medio
CHN,CHN-Shanghai,17646950,22853,medio
CHN,CHN-Shanxi,38771620,4129,bajo
CHN,CHN-Sichuan,27433552,46657,alto
CHN,CHN-Tianjin,41807012,9463,bajo
CHN,CHN-Tibet,1882154,15314,medio
CHN,CHN-Xinjiang,41469049,2956,bajo
CHN,CHN-Yunnan,923605,76430,alto
CHN,CHN-Zhejiang,19796742,1870,bajo
COL,COL-Amazonas,26686223,17629,medio
COL,COL-Antioquia,25192763,9363,bajo
COL,COL-Arauca,10939691,27558,medio
COL,COL-Atlantico,29676732,26494,medio
COL,COL-Bolivar,2042656,4059,bajo
COL,COL-Boyaca,6500750,7192,bajo
COL,COL-Caldas,7231626,76986,alto
COL,COL-Capital-District,39918007,79514,alto
COL,COL-Caqueta,5208054,3733,bajo
COL,COL-Casanare,43220443,1972,bajo
COL,COL-Cauca,46297149,5372,bajo
COL,COL-Cesar,35418597,5253,bajo
COL,COL-Choco,27423661,36833,alto
COL,COL-Cordoba,31051604,15928,medio
COL,COL-Cundinamarca,33941656,18645,medio
COL,COL-Guainia,14510948,74584,alto
COL,COL-Guaviare,47332180,27124,medio
COL,COL-Huila,12831090,17256,medio
COL,COL-La-Guajira,21240938,28764,medio
COL,COL-Magdalena,39885568,20549,medio
COL,COL-Meta,8633041,25062,medio
COL,COL-Narino,27202023,4180,bajo
COL,COL-Norte-de-Santander,34013366,2901,bajo
COL,COL-Putumayo,19445101,7677,bajo
COL,COL-Quindio,38806461,2506,bajo
COL,COL-Risaralda,5782964,19978,medio
COL,COL-San-Andres-y-Providencia,31113195,27793,medio
COL,COL-Santander,22431435,28146,medio
COL,COL-Sucre,11306266,1409,bajo
COL,COL-Tolima,10476646,10760,medio
COL,COL-Valle-del-Cauca,33418376,7138,bajo
COL,COL-Vaupes,18729336,15612,medio
COL,COL-Vichada,44642802,13240,medio
COM,COM,738449500,1030,bajo
COG,COG,763278670,19551,medio
COD,COD,661413526,20219,medio
CRI,CRI,1084290134,3060,bajo
CIV,CIV,110404369,2677,bajo
HRV,HRV,1335577197,40103,alto
CUB,CUB,274198546,8206,bajo
CYP,CYP,950526553,52921,alto
CZE,CZE,584826697,19465,medio
DNK,DNK-Faroe-Islands,41727797,3281,bajo
DNK,DNK-Greenland,47606179,1446,bajo
DNK,DNK,920880001,15257,medio
DJI,DJI,148150402,31481,medio
DMA,DMA,259012294,28895,medio
DOM,DOM,732721782,69956,alto
ECU,ECU,1399026191,73831,alto
EGY,EGY,618133641,1381,bajo
SLV,SLV,404471890,36847,alto
GNQ,GNQ,902655707,74367,alto
ERI,ERI,638380432,86127,alto
EST,EST,145849563,32961,medio
SWZ,SWZ,618764324,32110,medio
ETH,ETH,40692307,14568,medio
FJI,FJI,1324524428,26314,medio
FIN,FIN,757749194,65118,alto
FRA,FRA-French-Guiana,24345160,7663,bajo
FRA,FRA-French-Polynesia,39579778,7082,bajo
FRA,FRA-Guadeloupe,10472498,79023,alto
FRA,FRA-Martinique,11780187,9189,bajo
FRA,FRA-Mayotte,44670996,37216,alto
FRA,FRA-New-Caledonia,29241073,15701,medio
FRA,FRA-Reunion,7882277,8517,bajo
FRA,FRA-Saint-Barthelemy,2614902,28992,medio
FRA,FRA-Saint-Pierre-and-Miquelon,13749212,21780,medio
FRA,FRA-St-Martin,408008,20694,medio
FRA,FRA-Wallis-and-Futuna,29295038,39809,alto
FRA,FRA,106141929,51562,alto
GAB,GAB,680823655,24392,medio
GMB,GMB,1249559456,8271,bajo
GEO,GEO,1134038475,36929,alto
DEU,DEU-Baden-Wurttemberg,14653268,24306,medio
DEU,DEU-Bayern,7877863,3048,bajo
DEU,DEU-Berlin,2806647,88986,alto
DEU,DEU-Brandenburg,14937605,49244,alto
DEU,DEU-Bremen,30401456,10111,medio
DEU,DEU-Hamburg,32096215,21411,medio
DEU,DEU-Hessen,22589415,34332,medio
DEU,DEU-Mecklenburg-Vorpommern,184001,27098,medio
DEU,DEU-Niedersachsen,10813215,46116,alto
DEU,DEU-Nordrhein-Westfalen,48749825,57418,alto
DEU,DEU-Rheinland-Pfalz,45859459,25707,medio
DEU,DEU-Saarland,98780,27765,medio
DEU,DEU-Sachsen,40961660,70895,alto
DEU,DEU-Sachsen-Anhalt,2705145,7983,bajo
DEU,DEU-Schleswig-Holstein,42827112,1708,bajo
DEU,DEU-Thuringen,23579325,79085,alto
GHA,GHA,19988196,536,bajo
GRC,GRC,1049184410,2328,bajo
GRD,GRD,14826382,3841,bajo
GTM,GTM,748575381,17006,medio
GIN,GIN,292183325,8175,bajo
GNB,GNB,922863018,15347,medio
GUY,GUY,961271783,67171,alto
HTI,HTI,592429220,34274,medio
VAT,VAT,1315131681,10809,medio
HND,HND,27126699,4618,bajo
HUN,HUN,1244383867,27910,medio
ISL,ISL,933949473,23083,medio
IND,IND-Andaman-and-Nicobar-Islands,12424960,26879,medio
IND,IND-Andhra-Pradesh,36684884,924,bajo
IND,IND-Arunachal-Pradesh,5625829,29131,medio
IND,IND-Assam,32465887,61641,alto
IND,IND-Bihar,45258680,11982,medio
IND,IND-Chandigarh,23091937,27852,medio
IND,IND-Chhattisgarh,7748672,34112,medio
IND,IND-Dadra-and-Nagar-Haveli-and-Daman-and-Diu,43415457,25918,medio
IND,IND-Delhi,31022614,33154,medio
IND,IND-Goa,49977619,1733,bajo
IND,IND-Gujarat,9074507,19989,medio
IND,IND-Haryana,33883206,49546,alto
IND,IND-Himachal-Pradesh,24348959,18756,medio
IND,IND-Jammu-and-Kashmir,19811087,3519,bajo
IND,IND-Jharkhand,32686313,1804,bajo
IND,IND-Karnataka,621868,34418,medio
IND,IND-Kerala,38098342,81912,alto
IND,IND-Ladakh,40493572,26516,medio
IND,IND-Lakshadweep,13736798,26832,medio
IND,IND-Madhya-Pradesh,26380480,6907,bajo
IND,IND-Maharashtra,3466800,20022,medio
IND,IND-Manipur,9137064,20350,medio
IND,IND-Meghalaya,17925668,46818,alto
IND,IND-Mizoram,24896550,10849,medio
IND,IND-Nagaland,9081594,31741,medio
IND,IND-Odisha,19075229,13962,medio
IND,IND-Puducherry,15323683,14854,medio
IND,IND-Punjab,26943405,69307,alto
IND,IND-Rajasthan,19136034,2399,bajo
IND,IND-Sikkim,36979830,12944,medio
IND,IND-Tamil-Nadu,13549916,31341,medio
IND,IND-Telangana,36909281,32327,medio
IND,IND-Tripura,25511334,3744,bajo
IND,IND-Uttar-Pradesh,45048013,32720,medio
IND,IND-Uttarakhand,13045245,23255,medio
IND,IND-West-Bengal,36766256,69359,alto
IDN,IDN,1002808398,8453,bajo
IRN,IRN,232638657,83536,alto
IRQ,IRQ,1006338172,8355,bajo
IRL,IRL,72066738,8295,bajo
ISR,ISR,133178379,8775,bajo
ITA,ITA-Abruzzo,31411909,87894,alto
ITA,ITA-Basilicata,44130080,2627,bajo
ITA,ITA-Calabria,49499426,11601,medio
ITA,ITA-Campania,17027562,22809,medio
ITA,ITA-Emilia-Romagna,9017429,85374,alto
ITA,ITA-Friuli-Venezia-Giulia,46499207,40690,alto
ITA,ITA-Lazio,9062772,22521,medio
ITA,ITA-Liguria,25438563,69610,alto
ITA,ITA-Lombardia,45390504,20483,medio
ITA,ITA-Marche,41159257,43058,alto
ITA,ITA-Molise,19209177,6065,bajo
ITA,ITA-P.A.-Bolzano,32405607,4988,bajo
ITA,ITA-P.A.-Trento,35334762,34584,medio
ITA,ITA-Piemonte,32427532,33334,medio
ITA,ITA-Puglia,42317805,18906,medio
ITA,ITA-Sardegna,43873422,11927,medio
ITA,ITA-Sicilia,31512192,25512,medio
ITA,ITA-Toscana,16800095,18301,medio
ITA,ITA-Umbria,8956694,5429,bajo
ITA,ITA-Valle-d'Aosta,45730847,43457,alto
ITA,ITA-Veneto,9930226,40492,alto
JAM,JAM,488755997,38223,alto
JPN,JPN-Aichi,20786359,32511,medio
JPN,JPN-Akita,16699149,31455,medio
JPN,JPN-Aomori,6959666,68722,alto
JPN,JPN-Chiba,42112512,58434,alto
JPN,JPN-Ehime,2101028,19541,medio
JPN,JPN-Fukui,2737850,25007,medio
JPN,JPN-Fukuoka,10096627,11574,medio
JPN,JPN-Fukushima,35343904,33052,medio
JPN,JPN-Gifu,39060024,7595,bajo
JPN,JPN-Gunma,19936999,22023,medio
JPN,JPN-Hiroshima,44350506,59104,alto
JPN,JPN-Hokkaido,40898723,13255,medio
JPN,JPN-Hyogo,12307281,11058,medio
JPN,JPN-Ibaraki,26514795,11957,medio
JPN,JPN-Ishikawa,33437892,58032,alto
JPN,JPN-Iwate,23738956,14944,medio
JPN,JPN-Kagawa,13689525,15058,medio
JPN,JPN-Kagoshima,21073635,12519,medio
JPN,JPN-Kanagawa,43990741,21845,medio
JPN,JPN-Kochi,20797302,34297,medio
JPN,JPN-Kumamoto,45570800,12570,medio
JPN,JPN-Kyoto,17270086,17450,medio
JPN,JPN-Mie,5323280,30271,medio
JPN,JPN-Miyagi,33540980,8203,bajo
JPN,JPN-Miyazaki,7973845,6917,bajo
JPN,JPN-Nagano,46510652,9579,bajo
JPN,JPN-Nagasaki,32739313,35744,alto
JPN,JPN-Nara,22778558,6920,bajo
JPN,JPN-Niigata,23220446,4014,bajo
JPN,JPN-Oita,40749052,3430,bajo
JPN,JPN-Okayama,37774121,31921,medio
JPN,JPN-Okinawa,24923016,7213,bajo
JPN,JPN-Osaka,45950621,10175,medio
JPN,JPN-Saga,49193225,1065,bajo
JPN,JPN-Saitama,37716541,38217,alto
JPN,JPN-Shiga,36170254,50106,alto
JPN,JPN-Shimane,16904585,65359,alto
JPN,JPN-Shizuoka,30115118,23696,medio
JPN,JPN-Tochigi,28894951,30741,medio
JPN,JPN-Tokushima,6390858,32357,medio
JPN,JPN-Tokyo,2360876,19586,medio
JPN,JPN-Tottori,7041401,15802,medio
JPN,JPN-Toyama,8179183,7534,bajo
JPN,JPN-Wakayama,28549152,26263,medio
JPN,JPN-Yamagata,15394461,9912,bajo
JPN,JPN-Yamaguchi,37183479,27331,medio
